"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_flask_log_exists",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_modules_path",""
"passed","Fri May 29 01:49:14 UTC 2026","Fri May 29 01:49:14 UTC 2026","481","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_prompt",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_modules_directory_exists",""
"passed","Fri May 29 01:49:14 UTC 2026","Fri May 29 01:49:15 UTC 2026","480","tests.unit.cli","test_cli_commands","TestCLICommands","","","test_help",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_logs_directory_exists",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_module_yaml_exists",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_logging","TestLogging","","","test_workflow_log_exists",""
"passed","Fri May 29 01:49:15 UTC 2026","Fri May 29 01:49:15 UTC 2026","486","tests.unit.cli","test_sawectl_init","TestSawectlInit","","","test_init_module",""
"broken","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_workflow_parser","TestWorkflowParser","","","test_hello_world_exists",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_symlink_modules","TestModuleSymlink","","","test_modules_symlink",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_webform_directory_exists",""
"broken","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","1","tests.unit.engine","test_workflow_parser","TestWorkflowParser","","","test_hello_world_valid_yaml",""
"broken","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_config","TestEngineConfig","","","test_logs_path",""
"broken","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_config","TestEngineConfig","","","test_workflows_path",""
"broken","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_config","TestEngineConfig","","","test_config_loads",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","1","tests.unit.engine","test_config","TestConfig","","","test_config_exists",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_webform_assets","TestWebformAssets","","","test_asset_script_exists",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_config","TestEngineConfig","","","test_config_exists",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","1","tests.unit.engine","test_paths","TestPaths","","","test_logs_path",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","1","tests.unit.engine","test_modules","TestModules","","","test_command_module_exists",""
"broken","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_customer_id","TestCustomerID","","","test_customer_id_exists",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_paths","TestPaths","","","test_workflows_path",""
"broken","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_config","TestEngineConfig","","","test_modules_path",""
"failed","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_modules","TestModules","","","test_logger_module_exists",""
"passed","Fri May 29 01:49:15 UTC 2026","Fri May 29 01:49:16 UTC 2026","492","tests.unit.cli","test_sawectl_validate","TestSawectlValidate","","","test_validate_workflow",""
"broken","Fri May 29 01:50:07 UTC 2026","Fri May 29 01:50:07 UTC 2026","0","tests.unit.engine","test_config","TestConfig","","","test_config_loads",""
